NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
080-0761-000,CON_TFM_001X004_SMD_ST_M_P013,HDR SMD MALE VERT 1X4 1.27mm PITCH,0.634,TFM-104-02-L-S-K-TR,Samtec,P8E0-A-3,49,CCM,NORM,Parameter N/A
036-0031-000,0603,CAP SCD X7R 0603 .47uF 6V 10%,0.0031,Multi(11),Multi(11),P8E0-B-2,42,SCD,0603,-55degC..125degC
115-0732-000,DFN06_P050_015X010_B,IC SINGLE 2-INPUT POSITIVE-OR GATE SON-6,0.053,SN74LVC1G32DRYR,TI,P8E0-A-1,84,CCM,DFN06,[ ]..[ ]
316-0022-000,DFN14_P050_030X040_T035X018,VREG SWITCH DC/DC STEP DOWN CONVERTER 10A 25V 600KHz QFN-14,0,MP8671DL-LF-Z,Monolithic,P7,111,CCM,DFN14,-40.15degC..84.85degC
130-0894-000,IND_SMD_0201,IND 0201 HIGH FREQUENCY FILM 11.0nH 5.0% 0.24A 1.3ohm 16 500.0MHz 3.2GHz 0.0decibel,0,MHQ0603P11NJT000,TDK,P8E0-A-2,999,CCM,0201,-55.15degC..125.05degC
115-1906-000,BGA_0049_P040_033X033_B_MICRO,IC PROCESSOR CPU WLCSP49 LPC54101J256 256KB FLASH 104KB SRAM 39 GPIO,1.50,LPC54101J256UK49,NXP,P8E0-B-1,112,CCM,WLCSP49,-40.15degC..105.05degC
315-0886-000,QFN028Q_P040_043X043_T026X026,VREG NVDC BATTERY CHARGE CONTROLLER 19.2V 8.12A MAX VQFN-28,[ ],BQ24773RUYR,TI,P8E10,60,CCM,QFN28,-40degC..125degC
315-0736-000,DFN06_P065_020X020_TI063X039,VREG ULTRA LOW DROPOUT LINEAR 0.8V TO 6.5V 500mA TDFN6-2X2,0.059,GS7116NVTD-ADJ-R,NIKO,P8E0-A-2,56,CCM,DFN6_VIAS,-40degC..125degC
115-1455-000,XSOP14_P065_050X044,IC Gates- AND - 2 input 74LVC08APW TSSOP14,0.038,74LVC08APW,NXP,P8E0-B-1,50,CCM,TSSOP14,-40degC..125degC
320-3621-100,EMIPAD_053X040,GROUNDING CLIP TS,0.047,CBK112-2774-A-00,Huizhou Hongda Metals Products,P8E0-A-2,28,MECHANICAL,SMD,0.047
090-0180-000,SOT23,DIODE AUTOMOTIVE SOT23 1Pair - Series Connection 0.8V 0.2A SBAT54SLT1G,0.0198,SBAT54SLT1G~VERA,ON SEMI,P8E0-A-1,63,AUTOMOTIVE,SOT23,-55degC..150degC
195-3229-000,0402,RES SERVER 0402 18.2K 1% 1/16W,0.00112,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
195-0673-000,0603,RES SCD 0603 110 1% 1/10W,0.00047,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
316-0233-000,BGA_0024_P040_016X024_MICRO,VREG DRIVER BGA24 0.6V 1.5V Power Stage Multi-Phase DCDC,0.301,AS3728-BWLT,AMS-TAOS,P8E8,98,CCM,BGA24,-40degC..125degC
075-0243-000,CON_HDR_002X005_TH_RA_M_P025_SHR,HDR THRU DUAL ROW 2X5 MALE RA 2.54mm PITCH SHROUDED,0.2,2302-10-R-02-3.1-HT,Singatron,P8E2-A-2,49,CCM,NORM,N/A
195-0770-000,0603,RES SCD 0603 17.4K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
036-0140-000,0402,CAP X7R 0402 22nF 50V 10%,0.0014,Multi(2),Multi(2),P8E0-A-2,105,UNRESTRICTED,0402,-55degC..125degC
075-0161-000,CON_WAFER232_004_TH_ST_P020,HDR THRU NON-HI TEMP 1X4 MALE VERT WAFER 2mm PITCH SHROUDED BLACK,0.0296,B4B-PH-K-K (LF)(SN),J.S.T.,P8E0-A-2,98,CCM,NORM,N/A
195-0053-000,0402,RES SCD 0402 127 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
300-0694-000,SOT23,XSTR N-CH DIGITAL FET 25V 0.68A 0.45 OHM MAX @ 4.5V SOT-23,0.023,FDV303N,Fairchild,P8E0-A-1,111,CCM,SMD,-55degC..150degC
195-3394-000,0402,RES SERVER 0402 953K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
085-0248-000,XTAL_SMD_2_032X015,XTAL SMD_32X15 32.768KHz 50.0ppm Fundamental 12.5pF NX3215SA,0.169,EXS00A-MU00516,NDK,P8E8,49,CCM,SMD_32X15,-40degC..105degC
032-0151-000,CAP_SMD_166X166,CAP POL ALE SMD 680.0uF +/- 20.0% 35.0V,[ ],MAL214699007E3,Vishay,P8E10,60,CCM,SMD_D160,-55degC..125degC
195-0883-000,0603,RES SCD 0603 301 1% 1/10W,0.0005,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
065-0692-000,CON_HDR_001X006_SMD_RA_M_P025,Header (SMD) SINGLE ROW MALE RA 1X6 POS 2.54mm PITCH,0,2812-06-R-02-6.0-0-HSF,Singatron,P8E0-A-2,999,CCM,NORM,N/A
093-0023-000,0603,THMS 0603 NTC 10kohm 5% B3380 3%,0.02,NCP18XH103J03RB,Murata,P8E0-B-2,84,CCM,0603,-40degC..125degC
195-0610-000,0402,RES SCD 0402 56 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
215-0289-000,RES_04_SMD_032X016,RES SENSE 1206_4PIN 0.005ohm 2.0% 100.0ppm 0.75W,0.12,KRL1632-M-R005-G-T5,Yokohama,P8E8,84,CCM,1206_4PIN,-55.15degC..155.05degC
195-0909-000,0603,RES SCD 0603 3.4K 1% 1/10W,0.00035,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
041-0018-000,CAP_SMD_3528,CAP POSTAN B 20% 6.3V 100uF POSCAP ULTRALOW_Z,0.145,TCJB107M006R0070,Kyocera,P8E10,119,CCM,SMD_3528,-55degC..105degC
064-0278-000,CON_PWR_004_TH_RA_M_182X123,CONN POWER B2W 4 PIN 2 CONDUCTOR RA 2.3MM PITCH,0,1982295-2,TE Connectivity,P8E0-A-2,999,CCM,MT2,CON_PWR_004_TH_RA_M_182X123
315-1034-000,BGA_0076_P080_086X077,VREG AUTOMOTIVE BGA76 PMIC 0.6V 3.95V MAX20024GGXXA/V+,2.574,MAX20024GGXXA/V+,Maxim,P8E10,182,AUTOMOTIVE,BGA76,-40degC..105degC
300-0726-000,DFET_SMD_032X033,XSTR P-CH MOSFET -20V -13A 14mOHM MAX @ -4.5V DFN3X3-8,0.10,AM7321P-T1-PF,Analog Power,P8E0-A-2,98,CCM,DFN3X3,-55degC..150degC
131-0060-000,MULTI_IND_SMD_132X129_B,IND PWR 2.2uH SHIELDED 20% 16A 8mOHM dcR MAX 13.2X12.9mm SMD,0.30,IHLP5050CEER2R2M01~VERA,Vishay,P7,85,CCM,SMD_520X508,-55degC..125degC
300-0356-000,SOT23,XSTR MOSFET N-CH 30V 4A 70mOHM MAX @ 4.5V SOT-23,0.0421,AO3402L,Alpha and Omega,P8E0-A-2,85,CCM,SOT23_1G1D1S,-55degC..150degC
315-0264-000,XSOP08_P127_039X049_T025X025,VREG LINEAR SOP8 LowDrop Out 0.36V 0.8V 5.0V 1.5%,[ ],EM5107GE,Excelliance MOS,P8E0-A-2,60,CCM,SOP8,-40degC..125degC
064-0284-000,JOYSTICK_14_TH_ST_210X170,Joystick FJM10K-0125A,0.42,FJM10K-0125A,Polyshine,P8E0-A-2,56,CCM,SW_TH_14PIN,56
195-0665-000,0603,RES SCD 0603 10.5K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-2773-000,0402,RES AUTOMOTIVE 0402 4.99kohm 0.5% 62.5mW,0.14,MCS04020D4991BE100,Vishay,P8E10,63,AUTOMOTIVE,0402,-55degC..125degC
170-0357-000,BGA_0153_P050_115X130,"IC FLASH 38.46 ns BGA153 KLUDG8V1EE-B0C1 , UFS2.1 128GB",0,KLUDG8V1EE-B0C1,Samsung Electronics,P8E0-A-1,180,CCM,0ns,-25.15degC..84.85degC
115-1831-000,BGA_0100_P080_090X090,IC AUTOMOTIVE Receiver- HDMI BGA100 ADV7480,[ ],ADV7480WBBCZ,Analog Devices,P8E10,60,AUTOMOTIVE,BGA100,-40.15degC..84.85degC
195-0068-000,0402,RES SCD 0402 137 1% 1/16W,0.00026,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
090-0108-000,SOT23,DIODE SMD SWITCHING 75V 200mA SOT-23,0.01,BAS16LT3G,ON SEMI,P8E0-A-1,84,CCM,SOT23,-55degC..150degC
080-1200-000,CON_EDGE_PWR_004_SMT_RA_085X080_CUTOUT,Connector (Edge) MID-MOUNT DC POWER JACK FEMALE RA BLACK,0.48,MJ808K-40C0-40F,Simula,P8E8,42,CCM,CON_8PIN_MID,Released
300-0272-000,SOT23,N-CH MOSFET SOT23_1G1D1S 6.0A 12.0V 1.4W AO3420,0.0588,AO3420,Alpha and Omega,P8E8,63,CCM,SOT23_1G1D1S,-55degC..150degC
045-0112-000,MULTI_CAP_TH_D080P035_D100P050,CAP ALE 330uF 20% 16V 6.1A 10mOHM 10X11.5mm THRU,0.24,SEL16M331P,Skywell,P8E0-A-2,71,CCM,COMBI_TH_D80_D100,-55degC..105degC
065-0256-000,CON_MISC_016_TH_RA_P217X102,CONN THRU NON-HI TEMP RJ45 WITH LED FEMALE RA 14 POS,0.85,RB1-265B9W1A,U.D.,P8E2,63,CCM,RJ45_GML,Parameter N/A
086-0090-000,OSC_04_SMD_052X034,OSC SMD 250.00MHz 3.3V +/- 20 PPM 15pF 5.15X3.35X1.4mm MAX,[ ],FXO-HC538-250.00,Fox,P8E10,57,CCM,SMD,[ ]..[ ]
280-0021-000,SW_04_SMT_RA_1XONOFF_036X035,SWITCH TACT LOW PROFILE SIDE PUSH 3.5mmX2.9mmX1.25mm SMD,0.25,SKSCLDE010,Alps,P8E0-B-2,71,CCM,SMD_4P,Parameter N/A
300-0925-000,SC70_6,N-CH MOSFET AUTOMOTIVE SOT363 0.18A 20.0V 0.272W NVTJD4001NT1G,0.0407,NVTJD4001NT1G,ON SEMI,P8E0-A-1,84,AUTOMOTIVE,SOT363,-55.15degC..150.05degC
032-1023-000,0603,CAP AUTOMOTIVE X7R 0603 4.7nF +/-10.0% 50.0V SOFT-TERMINATION,0.009,CGA3E2X7R1H472KT0Y0S,TDK,P8E10,70,AUTOMOTIVE,0603,-55degC..125degC
195-3228-000,0402,RES SERVER 0402 17.8K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
195-2617-000,0201,RES SCD 0201 845 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
130-1085-000,IND_NONRKO_SMD_064X066_B,IND AUTOMOTIVE SMD_6X6 [ ] 22uH 20% 3.6A 55.12mohm -1 -1KHz 14MHz,0,XAL6060-223MEC,Coilcraft,P8E10,999,AUTOMOTIVE,SMD_6X6,-40degC..125degC
115-1815-000,BGA_0112_P050_065X065,IC RF Transceiver- Bluetooth BGA112 CSR8670C BlueCore Bluetooth v4.0,5.2223,CSR8670C-IBBH-R,Cambridge Silicon Radio,P8E8,126,CCM,BGA112,-40.15degC..84.85degC
195-3491-000,0402,RES PACHINKO 0402 240ohm 1% 100mW,0.00105,RK73H1ETTP2400F,KOA Speer,P8E1-7cI-A-2,56,PACHINKO,0402,-55degC..155degC
080-1280-000,CON_MISC_022_SMD_ST_F_P0035_BTB_MICRO,Interconnect (SMD) CONN B2B FEMALE 22 POS 0.35mm PITCH 2X ANCHOR PLATE,0.15,505066-2220,Molex-Japan,P8E0-A-1,77,CCM,SMD22_4,CON_MISC_022_SMD_ST_F_P0035_BTB_MICRO
130-0571-000,IND_NONRKO_SMD_057X052,IND AUTOMOTIVE SMD_6X6 CarbonylPowder 0.1uH 30.0% 14.0A 5.2ohm,[ ],[ ],[ ],P8E10,0,AUTOMOTIVE,SMD_6X6,-55degC..155degC
065-0686-000,CON_HDR_002X003_SMD_ST_M_P013_B,Connector (TH High Temp) HEADER 2X3 Vertical MALE 1.27mm PITCH,0.92,TFM-103-02-L-D,Samtec,P8E10,42,CCM,NORM,N/A
300-0696-000,MULTI_SMD_SOT669_LFPAK_B,XSTR PACHINKO PWR MOSFET SGL N-CH 30V 38A 13.5mOHM MAX @ 4.5V SO-8 FL,0.084,NTMFS4927NT1G~VERB,ON SEMI,P8E1-7a-A-1,97,PACHINKO,LFPAK,-55degC..150degC
195-2693-000,0402,RES AUTOMOTIVE 0402 49.9R 1% 1/16W,0.00069,MCR01MZPF49R9~VERB,Rohm,Compliance Unknown,119,AUTOMOTIVE,0402,-55degC..155degC
032-0138-000,0402,CAP C0G 0402 470.0pF 50V +/-5.0%,0.0023,Multi(2),Multi(2),P8E0-B-2,119,CCM,0402,-55degC..125degC
195-0406-000,0402,RES SCD 0402 681K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,49,SCD,0402,-55degC..155degC
316-0251-000,DFN10_P050_030X030_T027X018,VREG CONTROLLER/DRIVER/FET DFN10 Buck 1Ph 1.0MHz 0.6V 6.0V 1.0%,0.105,APW8805AQBI-TRG,Anpec,P8E0-A-2,70,CCM,DFN10,-40degC..125degC
280-0074-000,SMD_BUTTON_PAD_0595D,SWITCH SMD SPST NON-PHYSICAL PART INTERLEAVED FINGER BUTTON PAD,N/A,[ ],[ ],Compliance Unknown,45,NON_PHYSICAL,SMD_2,Parameter N/A
195-2959-000,0402,RES AUTOMOTIVE 0402 6.19 kohm 1.0 % 62.5 mW,0.00104,TFA0402R6191F-T10,Thin Film,P8E1-7cI-A-2,49,AUTOMOTIVE,0402,-55.15degC..155.05degC
130-1107-000,0201,IND 0201 2.6nH +/-0.1NH 0.56A 0.16ohm 24 500MHz 8.5GHz,0,HKQ0603W2N6B-T,Taiyo Yuden,P8E0-A-2,999,CCM,0201,-55degC..125degC
032-0144-000,0805,CAP AUTOMOTIVE X7R 0805 4.7uF +/-10.0%,0.025,GCM21BR71C475KA73L~VERA,Murata,P8E0-B-2,126,AUTOMOTIVE,0805,-55degC..125degC
195-2536-000,0201,RES SCD 0201 57.6 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-0507-000,0402,RES SCD 0402 1.3K 5% 1/16W,0.0005,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
316-0372-000,DFN10_P050_030X030_T024X016,VREG CONTROLLER/DRIVER/FET AUTOMOTIVE DFN10 Buck 1Ph 2.1MHz 5.0V 4.0% MAX16904RATB50/V+ Fixed Voltage 5V,0.74,MAX16904RATB50/V+,Maxim,P8E10,60,AUTOMOTIVE,DFN10,-40.15degC..125.05degC
039-0146-000,0805,CAP X5R 0805 10uF 10V 10%,0.00455,Multi(7),Multi(7),P7,105,CCM,0805,-55degC..85degC
GK107-825-A2,BGA_0908_P080_P085_P100_290X290,Quadro GK107-825-A2,[ ],[ ],[ ],[ ],7,[ ],BGA908,[ ]..[ ]
032-0353-000,1210,CAP AUTOMOTIVE X7R 1210 4.7uF +/-10.0% 50.0V,0.08,GCM32ER71H475KA55K,Murata,P8E10,60,AUTOMOTIVE,1210,-55degC..125degC
316-0389-000,QFN048Q_P050_0076_T054X054_B,VREG CONTROLLER/DRIVER/FET AUTOMOTIVE QFN48 Buck/Boost/LDO 1Ph/1Ph/LDO/LDO 2.2MHz 3.3V 5.0V 1.0% TLF35584QVVS2,1.95,TLF35584QVVS2XUMA1,Infineon,P8E10,119,AUTOMOTIVE,QFN48,-40.15degC..150.05degC
131-0246-000,IND_NONRKO_SMD_044X041,IND SMD 1.0uH 20% 4A 52.5 mOHM dcR MAX SHIELDED 4.45X4.06X1.2mm,0.39,IHLP1616ABER1R0M01,Vishay,P7,85,CCM,SMD_045_041,-55degC..125degC
032-0299-000,CAP_SMD_7343,CAP POL TA-Polymer SMD_7343 470.0uF +/-20.0% 6.3V,0.43,6TPE470MAZU,Panasonic,P8E8,84,CCM,SMD_7343,-55degC..105degC
074-9002-000,CON_PWR_002X003_TH_RA_M_P042,"NCS PART,CONN THRU PCI-E POWER FEMALE RA 6 POS 4.20mm PITCH LONG NEGATIVE HEIGHT",N/A,Multi(3),Multi(3),P8E8,999,NCS,PCIEPWR,N/A
115-0955-000,SO08_048X038,IC DUAL LOW-NOISE OPERATIONAL AMPLIFIER SOIC-8,0.322,SA5532ADR,TI,P8E8,60,CCM,SO8,[ ]..[ ]
064-0146-000,CON_HDR_001X002_TH_ST_M_P013_B,CONN THRU WIRE TO BOARD WAFER MALE VERT 2 POS 1.25mm PITCH,0.037,50275-00271-007,Aces Electronic,P8E0-A-2,60,CCM,NORM,CON_HDR_001X002_TH_ST_M_P013_B
039-0006-000,0402,CAP SCD X5R 0402 .01uF 6V 10%,0.00041,Multi(11),Multi(11),P8E0-B-2,42,SCD,0402,-55degC..85degC
115-1133-000,QFN024Q_P050_0045_T027X027_MICROVIAS,IC I2C CONTROLLED 4.5A SINGLE CELL USB / ADAPTOR CHARGER WITH NARROW VDC POWER PATH MANAGEMENT AND USB OTG VQFN-24,0.631,BQ24193RGET,TI,P8E10,42,CCM,QFN24_MICRO,-40degC..85degC
316-0325-000,QFN033Q_P050_0050_T036X020_T017X011_T014X011,VREG DRIVER/FET QFN5x5 0.6V 10.0V FDMF5820DC,0.825,FDMF5820DC,Fairchild,P8E1-7a-A-1,91,CCM,QFN5X5,-40degC..150degC
195-2349-000,0201,RES SCD 0201 23.2K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
320-1276-000,ANTENNA_CLIP_SMD_034X020,EMI Clip/Pad Antenna Spring 3.4X2X1.1mm,0,2040852-1,TE Connectivity,P8E0-A-2,35,CCM,SMD,0
200-0040-000,RPAK_PAR_4_2010,RES PACK PACHINKO 8P 4R 2X1MM 25V 5% 1/16W 10K,0.06176,CN1EM4KTTD103J~VERA,KOA Speer,P6,42,PACHINKO,0402X4,[ ]..[ ]
195-2796-000,0402,RES AUTOMOTIVE 0402 2.2 Mohm 1.0 % 62.5 mW,0.0035,RCA04022M20FKED,Vishay,P8E10,63,AUTOMOTIVE,0402,-55degC..155degC
280-0030-000,SW_07_SMT_ST_1XOVER_075X030,SWITCH HOLLOW SHAFT HORIZONTAL TYPE 7.5X3mm SMD,0.26,EC05E1220202,Alps,P8E0-B-2,63,CCM,7_PIN,Parameter N/A
T114XD-ENG-B-A2,BGA_1208_P100_425_425,T114AutoVCM3.0 4xCore-2G-0M-B-A02 ENG,[ ],[ ],[ ],[ ],7,[ ],BGA1208,-40degC..105degC
130-0092-000,IND_SMD_0402,IND 0402 8.2nH +/-2% 54mOHM dcR MAX 1500mA,0.45,0402HP-8N2XJLW,Coilcraft,P7,71,CCM,0402,-40degC..125degC
115-0904-000,QFN060Q_P050_0095_T064X064,IC 720p 24-bit COLOR FPD-LINK III DESERIALIZER with HDCP WQFN-60,4.94,DS90UH926QSQ/NOPB,TI,P8E8,80,CCM,LLP60,[ ]..[ ]
161-0231-100,BGA_0170_P080_140X120,"IC SDRAM GDDR5 x16 BGA170 H5GC8H24MJR-T2C 3.0GHz , 8Gb, 6.0Gbps",0,H5GC8H24MJR-T2C,SK Hynix,P8E0-A-1,180,CCM,3GHz,-3.1degC..84.85degC
215-0144-000,RES_04_SMD_015X032,RES 0612 CURRENT SENSE 5mOHM 1% 150PPM 1W,0.10,RL1632L4-R005-FNH,Cyntec,P8E0-A-2,56,CCM,R_SENSE_4PIN,[ ]..[ ]
130-0819-000,IND_NONRKO_SMD_169X169,IND SMD_17X17 2.2uH 20.0% 35.0A 2.53mohm 0 0.0KHz 0.0MHz 0.0decibel,1.25,IHLP6767GZER2R2M01,Vishay,P8E10,119,CCM,SMD_17X17,-55.15degC..125.05degC
195-3486-000,0402,RES PACHINKO 0402 105kohm 1% 100mW,0.00105,RK73H1ETTP1053F,KOA Speer,P8E1-7cI-A-2,56,PACHINKO,0402,-55degC..155degC
115-0013-000,SC70_5,IC SMD single 2-Input AND Gate NC7SZ08P5 SC70,0.0235,NC7SZ08P5X,Fairchild,P8E0-A-1,111,CCM,SC70-5,[ ]..[ ]
161-0296-900,BGA_0200_P080_P065_100X145,"IC SDRAM LPDDR4X 16bit WFBGA200 MT53D1024M32D4DT-053AIT:D 2.133GHz , 32Gb",0,MT53D1024M32D4DT-046AIT:D,Micron,P8E0-B-1,180,CCM,2.133GHz,-40degC..95degC
195-3528-000,0402,RES AUTOMOTIVE 0402 820ohm 1% 62.5mW,0.00104,TFA0402R8200F-T10,Thin Film,P8E1-7cI-A-2,56,AUTOMOTIVE,0402,-55degC..155degC
GP107-300-A1,BGA_0908_P080_P085_P100_290X290,DT GeForce GP107-300,[ ],[ ],[ ],[ ],7,[ ],BGA908,[ ]..[ ]
195-0626-000,0402,RES SCD 0402 6.8K 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0061-000,0402,RES SCD 0402 130K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0705-000,0603,RES SCD 0603 12.7K 1% 1/10W,0.00035,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
195-1058-000,0603,RES SCD 0603 698 1% 1/10W,0.00103,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
080-0257-000,CON_EDGE_DP_020_SMD_RA_M_P010,CONN SMD DISPLAY PORT MALE RA 20 POS 1.0mm PITCH,0.53,68-0204-20-H,Astron,P7,42,CCM,PLUG_EDGE,Parameter N/A
032-0456-000,FILTER_003_SMD_011X007,CAP C0G 0402_3T 1.0uF +/-20.0% 4.0V,0.0155,YFF15PC0G105MT000N,TDK,P8E0-A-2,60,CCM,0402,-55degC..125degC
131-0639-000,IND_NONRKO_SMD_040X040,IND SMD 1.0uH 20% 6.7A 14.60mOHM dcR MAX SHIELDED 4.3X4.3X2.1mm MAX,0.426,XAL4020-102MEC,Coilcraft,P8E8,71,CCM,SMD,-40degC..90degC
195-3017-000,0402,RES SERVER 0402 113R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
195-3407-000,0402,RES SERVER 0402 0R JUMPER 1AMP,0.00135,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
195-0872-000,0603,RES SCD 0603 28.7 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
131-0560-000,IND_NONRKO_SMD_106X102,IND SMD 0.36uH 20% 23A 1.6 mOHM dcR MAX 11.5X10.3X3.0mm MAX,0.24,PIMB103T-R36MS,Cyntec,P8E0-A-2,70,CCM,SMD_420X400,-55degC..125degC
372-xxxx-000,mec_led_shield_darcy,N/A,N/A,Parameter N/A,Parameter N/A,P8E10,Parameter N/A,Parameter N/A,5PIN,Parameter N/A
032-0970-000,0402,CAP X6S 0402 3.3uF +/-10.0% 4.0V,0.0156,C1005X6S0G335K050BC,TDK,P8E0-A-2,112,UNRESTRICTED,0402,-55degC..105degC
195-1160-000,0603,RES SCD 0603 1.3M 5% 1/10W,0.00064,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
315-0964-000,SOT23,VREG SHUNT SOT23 1.24V 18.0V 1.0% AZ431LBNTR-G1 LOW VOLTAGE ADJ Iref 0.4uA Ika 100mA,0.047,AZ431LBNTR-G1,Diodes,P8E0-A-2,999,CCM,SOT23,-40.15degC..125.05degC
075-0018-000,CON_HDR_001X002_TH_ST_M_P025,HDR THRU 2 X 1 MALE STRAIGHT 2.54MM PITCH,0.01,2201-02-S-02-5.84/2.92,Singatron,P8E2-A-2,71,CCM,NORM,Parameter N/A
195-3016-000,0402,RES SERVER 0402 110R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
032-0624-000,0402,CAP C0G 0402 0.3pF +0.05pF -0.05pF 50.0V,0.018,GJM1555C1HR30WB01D,Murata,P8E0-B-2,63,CCM,0402,-55degC..125degC
195-1154-000,0603,RES SCD 0603 1.3 5% 1/10W,0.0016,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
085-0180-000,XTAL_SMD_4_025X020,XTAL SMD 38.4MHz 10_11_1PPM 8pF FUNDAMENTAL 2.5X2.0X0.45mm,0.117,Q24FA20H0028100,Epson,P8E8,84,CCM,SMD_25X20_A,-25degC..85degC
115-0942-000,QFN044Q_P065_0085_T068X068,IC LOW-PWR HIGH-PERFORMANCE MICROCONTROLLER WITH NANO WATT XLP 64KB FLASH MEM QFN-44,1.64,PIC18LF46K22T-I/ML,Microchip,P8E8,90,CCM,QFN44,[ ]..[ ]
032-1163-000,0402,CAP PACHINKO X7R 0402 10nF +/-10% 16V,0.00069,GRM155R71C103KA01D~PACHINKO,Murata,P8E0-B-2,133,PACHINKO,0402,-55degC..125degC
195-0172-000,0402,RES SCD 0402 22.6 1% 1/16W,0.0006,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
130-0843-000,IND_NONRKO_SMD_056X052,IND SMD_5X5 metal powder 2.2uH 20.0% 5.0A 35.0mohm 0 0.0KHz 0.0KHz,0,MMD-05AHN2R2M-302-RT,Mag Layers,P8E0-A-2,35,CCM,SMD_5X5,-40.15degC..125.05degC
032-0886-000,0603,CAP SCD X5R 0603 4.7uF 6.3V 20%,0.0027,Multi(5),Multi(5),P8E0-A-3,42,SCD,0603,-55degC..85degC
195-0182-000,0402,RES SCD 0402 23.7 1% 1/16W,0.00038,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-2264-000,0201,RES SCD 0201 15.4K 1% 1/20W,0.0028,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
032-1142-000,0201,CAP PACHINKO X7R 0201 1.5nF +/-10% 16V,0.00045,GRM033R71C152KA01D,Murata,P8E0-B-2,133,PACHINKO,0201,-55degC..125degC
195-3095-000,0402,RES SERVER 0402 732R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
100-0113-000,IND_SMD_0402,FER BEAD 180 OHM @ 100MHz 0.40 OHM dcR MAX 400mA 1.00X0.50X0.50mm,0.0075,Z1K181-RD-15,Superworld,P8E0-A-2,91,CCM,BEAD_0402,[ ]..[ ]
131-0489-000,IND_NONRKO_SMD_058X052_C,IND SMD 2.2uH 20% 3.0A 30mOHM dcR MAX 5.8X5.2X3.0mm,0.045,SCD0503N-2R2M-N,Chilisin,P8E0-A-2,56,CCM,SMD_5X5,-40degC..125degC
300-0393-000,MULTI_STD_SOT223_DPAK,XSTR PWR MOSFET SINGLE N-CH 30V 12A 64mOHM MAX @ 4.5V DPAK-4,0.054,AOD4102L,Alpha and Omega,P8E1-7a-A-2,85,CCM,COMBI_MONO_1G2D1S,-55degC..175degC
315-1013-000,BGA_0076_P080_086X077,VREG PACHINKO BGA76 PMIC 0.6 V 3.95 V MAX20024EGXXE/V+T,2.574,MAX20024EGXXE/V+T,Maxim,P8E0-A-2,70,PACHINKO,BGA76,-40.15degC..105.05degC
