STUFF LIST - 1  
CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000                          J501            

----------------

C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C28             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C46             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C61             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C65             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C74             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C75             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C79             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C80             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C84             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C85             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C88             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C89             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C91             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C93             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C97             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C98             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C99             
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C100            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C101            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C102            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C103            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C104            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C148            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C149            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C150            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C151            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C152            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C153            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C154            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C155            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C162            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C163            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C165            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C166            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C169            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C170            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C176            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C178            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C180            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C181            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C184            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C189            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C430            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C465            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C466            
C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000                          C469            
